Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,2,"+1 added to likes
+1 for the last 5 seconds not being an echo cop out",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,3,"gave me a bluesy Lake Street Dive vibe and i dig it
+1 added to likes
+2 favorite song this round",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,0,not the one,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,"+1 good boardgame
+1 favorite song this round",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,"+2 posty
-1 posty in music league",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,+1 cover art,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,+1 because im 26 now,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,+1 summer vibes,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,0,"i didnt dislike it, but it didnt really do it for me",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3uY2ofAOXikujtpodDaNQA,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,0,+1 instrumental,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,-1,-1 i think this is srujans,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,+1 name sounds like stacey abrams,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,3e70303e4be54c4bbe262d59298fffd4,2024-10-07T04:42:09Z,1,+1 added to likes,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,-1,This song deserves +3 but it gets -1 because it was MY song of the summer and I’m pissed someone submitted it first. As someone raised on country the fact that it’s now socially acceptable is great y’know make country accessible (I.e. not racist sexist or homophobic) or whatever but JUST KNOW THAT I WOULD LISTEN TO THIS SHIT WITHOUT POSTY. He put cocaine in this song and I’m doing lines on lines of it.,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,2,Vibing with this,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,1,Some of these lyrics are just annoying me and I don’t truly know why…but it was the only song that got me to the bridge on first listen so points for that,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,2,This feels like something I would’ve listened to summer 2018…in a good way,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,2,Now this is what a summer song should be,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,1,+1 extra for the rendition Elliott did in the kitchen this morning,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,3,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,0,I agree her new album was subpar but I hate to say it this also felt subpar as far as a song of the summer goes…,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,04a232c7a8114d73a2f47380cee10035,2024-10-07T11:25:21Z,0,In hindsight maybe I shouldn’t have been honest with this submission but I think I listened to this song about 500 times,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,0,"Was neutral about this - feel like if I play it enough times I may start liking it more, but for now alas I didn’t like it enuf to vote",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3uY2ofAOXikujtpodDaNQA,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,2,"Beat slapped - I wish there were vocals Highkey I FUCKED with the vocals version of this, if anyone felt the same listen to the vocals version and you won’t be disappointed ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,"Made me wish I had a thot summer, gonna play this in front of Emma and hope she throws it back",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,"Was alright, good summer song but was Gracie Abrams really brat enough? ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,-1,"Is it sacrilegious to not like a Beyoncé song? Something about this just isn’t doing it for me. The slowness? The country undertones? The posty feature? Whatever, she’s in on the P Diddy accusations anyway who cares - wasn’t a fan, sorry ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,0,"Alright, already, the show goes on
All night, ’til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, ’til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on alright

(Was fine, didn’t love it but I get the vibe)",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,Nice indie song kru you Brooklyn hipster you,2be216f7413f4f7bae842351b9ab7fd3
